Release date,Product,Platform,Impact,Severity,Article,Download,Details
11/10/2020,Windows Server 2012 (Server Core installation),,Elevation of Privilege,Important,https://support.microsoft.com/help/4586834,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586834,CVE-2020-17088
11/10/2020,Windows Server 2012 (Server Core installation),,Elevation of Privilege,Important,https://support.microsoft.com/help/4586808,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586808,CVE-2020-17088
11/10/2020,Windows Server 2012,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586834,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586834,CVE-2020-17088
11/10/2020,Windows Server 2012,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586808,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586808,CVE-2020-17088
11/10/2020,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),,Elevation of Privilege,Important,https://support.microsoft.com/help/4586827,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586827,CVE-2020-17088
11/10/2020,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),,Elevation of Privilege,Important,https://support.microsoft.com/help/4586805,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586805,CVE-2020-17088
11/10/2020,Windows Server 2008 R2 for x64-based Systems Service Pack 1,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586827,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586827,CVE-2020-17088
11/10/2020,Windows Server 2008 R2 for x64-based Systems Service Pack 1,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586805,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586805,CVE-2020-17088
11/10/2020,Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation),,Elevation of Privilege,Important,https://support.microsoft.com/help/4586807,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586807,CVE-2020-17088
11/10/2020,Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation),,Elevation of Privilege,Important,https://support.microsoft.com/help/4586817,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586817,CVE-2020-17088
11/10/2020,Windows Server 2008 for x64-based Systems Service Pack 2,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586807,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586807,CVE-2020-17088
11/10/2020,Windows Server 2008 for x64-based Systems Service Pack 2,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586817,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586817,CVE-2020-17088
11/10/2020,Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation),,Elevation of Privilege,Important,https://support.microsoft.com/help/4586807,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586807,CVE-2020-17088
11/10/2020,Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation),,Elevation of Privilege,Important,https://support.microsoft.com/help/4586817,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586817,CVE-2020-17088
11/10/2020,Windows Server 2008 for 32-bit Systems Service Pack 2,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586807,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586807,CVE-2020-17088
11/10/2020,Windows Server 2008 for 32-bit Systems Service Pack 2,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586817,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586817,CVE-2020-17088
11/10/2020,Windows RT 8.1,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586845,,CVE-2020-17088
11/10/2020,Windows 10 Version 20H2 for 32-bit Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17027
11/10/2020,"Windows Server, version 20H2 (Server Core Installation)",,Elevation of Privilege,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17026
11/10/2020,Windows 10 Version 20H2 for ARM64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17026
11/10/2020,Windows 10 Version 20H2 for ARM64-based Systems,,Information Disclosure,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17056
11/10/2020,"Windows Server, version 20H2 (Server Core Installation)",,Information Disclosure,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-16997
11/10/2020,Windows 10 Version 20H2 for ARM64-based Systems,,Information Disclosure,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-16997
11/10/2020,Windows 10 Version 20H2 for ARM64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17038
11/10/2020,Windows 10 Version 20H2 for x64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17038
11/10/2020,"Windows Server, version 20H2 (Server Core Installation)",,Elevation of Privilege,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17038
11/10/2020,Windows 10 Version 20H2 for 32-bit Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17075
11/10/2020,Windows 10 Version 20H2 for x64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17075
11/10/2020,"Windows Server, version 2004 (Server Core installation)",,Elevation of Privilege,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17077
11/10/2020,Windows 10 Version 2004 for x64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17077
11/10/2020,Windows 10 Version 2004 for ARM64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17077
11/10/2020,Windows 10 Version 2004 for 32-bit Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17077
11/10/2020,"Windows Server, version 1903 (Server Core installation)",,Elevation of Privilege,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17077
11/10/2020,Windows 10 Version 1903 for ARM64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17077
11/10/2020,Windows 10 Version 1903 for x64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17077
11/10/2020,Windows 10 Version 1903 for 32-bit Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17077
11/10/2020,"Windows Server, version 1909 (Server Core installation)",,Elevation of Privilege,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17077
11/10/2020,Windows 10 Version 1909 for ARM64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17077
11/10/2020,Windows 10 Version 1903 for 32-bit Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17070
11/10/2020,"Windows Server, version 1909 (Server Core installation)",,Elevation of Privilege,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17070
11/10/2020,Windows 10 Version 1909 for ARM64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17070
11/10/2020,Windows 10 Version 1909 for x64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17070
11/10/2020,Windows 10 Version 1909 for 32-bit Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17070
11/10/2020,Windows Server 2019  (Server Core installation),,Elevation of Privilege,Important,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17070
11/10/2020,Windows Server 2019,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17070
11/10/2020,Windows 10 Version 1809 for ARM64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17070
11/10/2020,Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17070
11/10/2020,"Windows Server, version 2004 (Server Core installation)",,Elevation of Privilege,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17038
11/10/2020,Internet Explorer 11,Windows 10 Version 20H2 for 32-bit Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17053
11/10/2020,Internet Explorer 11,Windows 10 Version 20H2 for x64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17053
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 20H2 for ARM64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17048
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 20H2 for ARM64-based Systems,Remote Code Execution,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17054
11/10/2020,Internet Explorer 11,Windows 10 Version 20H2 for 32-bit Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17058
11/10/2020,Internet Explorer 11,Windows 10 Version 20H2 for ARM64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17058
11/10/2020,Internet Explorer 11,Windows 10 Version 20H2 for x64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1607 for x64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586830,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586830,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1607 for 32-bit Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586830,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586830,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 for x64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586787,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586787,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 for 32-bit Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586787,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586787,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 2004 for x64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 2004 for ARM64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 2004 for 32-bit Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1903 for ARM64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1903 for x64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1903 for 32-bit Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1909 for ARM64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1909 for x64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1909 for 32-bit Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17058
11/10/2020,Windows 10 Version 1809 for 32-bit Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17070
11/10/2020,Windows 10 Version 1803 for ARM64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586785,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586785,CVE-2020-17070
11/10/2020,Windows 10 Version 1803 for x64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586785,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586785,CVE-2020-17070
11/10/2020,Windows 10 Version 1803 for 32-bit Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586785,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586785,CVE-2020-17070
11/10/2020,Microsoft Excel 2013 Service Pack 1 (64-bit editions),,Security Feature Bypass,Important,https://support.microsoft.com/kb/4486734,https://www.microsoft.com/downloads/details.aspx?familyid=f9905c21-8aa5-49c6-8431-4e52f32981e5,CVE-2020-17067
11/10/2020,Microsoft Excel 2013 Service Pack 1 (32-bit editions),,Security Feature Bypass,Important,https://support.microsoft.com/kb/4486734,https://www.microsoft.com/downloads/details.aspx?familyid=a946f5fd-6d56-41ad-8b16-709d9be34b01,CVE-2020-17067
11/10/2020,Microsoft Excel 2013 RT Service Pack 1,,Security Feature Bypass,Important,https://support.microsoft.com/kb/4486734,,CVE-2020-17067
11/10/2020,Microsoft Excel 2010 Service Pack 2 (64-bit editions),,Security Feature Bypass,Important,https://support.microsoft.com/kb/4486743,https://www.microsoft.com/downloads/details.aspx?familyid=48dc96e1-d6fc-491f-b84b-dec6e561220a,CVE-2020-17067
11/10/2020,Microsoft Excel 2010 Service Pack 2 (32-bit editions),,Security Feature Bypass,Important,https://support.microsoft.com/kb/4486743,https://www.microsoft.com/downloads/details.aspx?familyid=84718ae6-2a2a-4390-af2a-a63fdefe0f00,CVE-2020-17067
11/10/2020,Microsoft Excel 2016 (64-bit edition),,Security Feature Bypass,Important,https://support.microsoft.com/kb/4486718,https://www.microsoft.com/downloads/details.aspx?familyid=9ab43d49-4b30-47fa-99f6-97fce71bde98,CVE-2020-17067
11/10/2020,Microsoft Excel 2016 (32-bit edition),,Security Feature Bypass,Important,https://support.microsoft.com/kb/4486718,https://www.microsoft.com/downloads/details.aspx?familyid=818d5b81-4cf9-4583-8603-3a0ebcdb08c7,CVE-2020-17067
11/10/2020,Microsoft 365 Apps for Enterprise for 64-bit Systems,,Security Feature Bypass,Important,https://docs.microsoft.com/en-us/officeupdates/office365-proplus-security-updates,,CVE-2020-17067
11/10/2020,Microsoft 365 Apps for Enterprise for 32-bit Systems,,Security Feature Bypass,Important,https://docs.microsoft.com/en-us/officeupdates/office365-proplus-security-updates,,CVE-2020-17067
11/10/2020,Microsoft Office 2019 for Mac,,Security Feature Bypass,Important,https://go.microsoft.com/fwlink/p/?linkid=831049,https://go.microsoft.com/fwlink/p/?linkid=831049,CVE-2020-17067
11/10/2020,Microsoft Office 2019 for 64-bit editions,,Security Feature Bypass,Important,https://docs.microsoft.com/en-us/officeupdates/update-history-office-2019,,CVE-2020-17067
11/10/2020,Microsoft Office 2019 for 32-bit editions,,Security Feature Bypass,Important,https://docs.microsoft.com/en-us/officeupdates/update-history-office-2019,,CVE-2020-17067
11/10/2020,Windows Server 2012 R2,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586845,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586845,CVE-2020-17055
11/10/2020,Windows Server 2012 R2,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586823,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586823,CVE-2020-17055
11/10/2020,Windows RT 8.1,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586845,,CVE-2020-17055
11/10/2020,Windows 10 Version 1909 for ARM64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17055
11/10/2020,Windows 10 Version 1909 for x64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17055
11/10/2020,Windows 10 Version 1909 for 32-bit Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17055
11/10/2020,Windows Server 2019  (Server Core installation),,Elevation of Privilege,Important,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17055
11/10/2020,Windows Server 2019,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17055
11/10/2020,Windows 10 Version 1809 for ARM64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17055
11/10/2020,Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17055
11/10/2020,Windows 10 Version 1809 for 32-bit Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17055
11/10/2020,Windows 10 Version 1803 for ARM64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586785,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586785,CVE-2020-17055
11/10/2020,Windows 10 Version 1803 for x64-based Systems,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586785,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586785,CVE-2020-17055
11/10/2020,Internet Explorer 11,Windows 10 Version 1903 for 32-bit Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17053
